lon,lat,ifs_index,status
-136.451610,64.986600,1898,ok
-133.548390,64.986600,1899,ok
-130.645160,64.986600,1900,ok
-127.741930,64.986600,1901,ok
-124.838710,64.986600,1902,ok
-121.935490,64.986600,1903,ok
-119.032260,64.986600,1904,ok
-116.129030,64.986600,1905,ok
-113.225800,64.986600,1906,ok
-110.322590,64.986600,1907,ok
-107.419360,64.986600,1908,ok
-104.516130,64.986600,1909,ok
-101.612920,64.986600,1910,ok
-98.709690,64.986600,1911,ok
-95.806460,64.986600,1912,ok
-92.903230,64.986600,1913,ok
-90.000000,64.986600,1914,ok
-84.193540,64.986600,1916,ok
-75.483860,64.986600,1919,ok
-72.580660,64.986600,1920,ok
-69.677430,64.986600,1921,ok
-66.774200,64.986600,1922,ok
-49.354830,64.986600,1928,ok
-46.451600,64.986600,1929,ok
-43.548400,64.986600,1930,ok
-20.322570,64.986600,1938,ok
-17.419340,64.986600,1939,ok
-14.516140,64.986600,1940,ok
11.250000,64.051550,1949,ok
14.062500,64.051550,1950,ok
16.875000,64.051550,1951,ok
19.687500,64.051550,1952,ok
25.312500,64.051550,1954,ok
28.125000,64.051550,1955,ok
30.937500,64.051550,1956,ok
33.750000,64.051550,1957,ok
39.375000,64.051550,1959,ok
42.187500,64.051550,1960,ok
45.000000,64.051550,1961,ok
47.812500,64.051550,1962,ok
50.625000,64.051550,1963,ok
53.437500,64.051550,1964,ok
56.250000,64.051550,1965,ok
59.062500,64.051550,1966,ok
61.875000,64.051550,1967,ok
64.687500,64.051550,1968,ok
67.500000,64.051550,1969,ok
70.312500,64.051550,1970,ok
73.125000,64.051550,1971,ok
75.937500,64.051550,1972,ok
78.750000,64.051550,1973,ok
81.562500,64.051550,1974,ok
84.375000,64.051550,1975,ok
87.187500,64.051550,1976,ok
90.000000,64.051550,1977,ok
92.812500,64.051550,1978,ok
95.625000,64.051550,1979,ok
98.437500,64.051550,1980,ok
101.250000,64.051550,1981,ok
104.062500,64.051550,1982,ok
106.875000,64.051550,1983,ok
109.687500,64.051550,1984,ok
112.500000,64.051550,1985,ok
115.312500,64.051550,1986,ok
118.125000,64.051550,1987,ok
120.937500,64.051550,1988,ok
123.750000,64.051550,1989,ok
126.562500,64.051550,1990,ok
129.375000,64.051550,1991,ok
132.187500,64.051550,1992,ok
135.000000,64.051550,1993,ok
137.812500,64.051550,1994,ok
140.625000,64.051550,1995,ok
143.437500,64.051550,1996,ok
146.250000,64.051550,1997,ok
149.062500,64.051550,1998,ok
151.875000,64.051550,1999,ok
154.687500,64.051550,2000,ok
157.500000,64.051550,2001,ok
160.312500,64.051550,2002,ok
163.125000,64.051550,2003,ok
165.937500,64.051550,2004,ok
168.750000,64.051550,2005,ok
171.562500,64.051550,2006,ok
174.375000,64.051550,2007,ok
177.187500,64.051550,2008,ok
-160.312500,64.051550,2016,ok
-157.500000,64.051550,2017,ok
-154.687500,64.051550,2018,ok
-151.875000,64.051550,2019,ok
-149.062500,64.051550,2020,ok
-146.250000,64.051550,2021,ok
-143.437500,64.051550,2022,ok
-140.625000,64.051550,2023,ok
-137.812500,64.051550,2024,ok
-135.000000,64.051550,2025,ok
-132.187500,64.051550,2026,ok
-129.375000,64.051550,2027,ok
-126.562500,64.051550,2028,ok
-123.750000,64.051550,2029,ok
-120.937500,64.051550,2030,ok
-118.125000,64.051550,2031,ok
-115.312500,64.051550,2032,ok
-112.500000,64.051550,2033,ok
-109.687500,64.051550,2034,ok
-106.875000,64.051550,2035,ok
-104.062500,64.051550,2036,ok
-101.250000,64.051550,2037,ok
-98.437500,64.051550,2038,ok
-95.625000,64.051550,2039,ok
-92.812500,64.051550,2040,ok
-90.000000,64.051550,2041,ok
-84.375000,64.051550,2043,ok
-70.312500,64.051550,2048,ok
-67.500000,64.051550,2049,ok
-50.625000,64.051550,2055,ok
-47.812500,64.051550,2056,ok
-45.000000,64.051550,2057,ok
-42.187500,64.051550,2058,ok
-19.687500,64.051550,2066,ok
-16.875000,64.051550,2067,ok
8.181820,63.116500,2076,ok
10.909090,63.116500,2077,ok
13.636360,63.116500,2078,ok
16.363640,63.116500,2079,ok
24.545450,63.116500,2082,ok
27.272730,63.116500,2083,ok
